"PKey","accountcode","bankName","currency","lastreconcileddate","AccountNo","BranchCode","BranchName","lastreconbalance","StatementNo","lastChequeno","PostingGroup","Makeinactive","Fluctuation","AcctName","bankCode","swiftcode"
"386","BK386     ","I &amp; M BANK","KES","","00301837441210      ","005       ","SARIT CENTRE","0.00","","192","I 0020400           ","False","15Mo00294           ","Quality Bitumen Products ltd","570027","IMBLKENAXXX"
"139","01Pe00139 ","Petty Cash Account           ","KES","","                    ","          ","","0.00","","287","01Pe00139           ","False","13Ba00311           ","","",""
"375","01KC00375 ","KCB(1165510189)               ","KES","","                    ","          ","","19330.00","4","0","01KC00375           ","False","15Mo00294           ","","",""
"332","01Eq00332 ","Equity(025029909411)          ","KES","","","","","","","","01Eq00332           ","False","","","",""
"307","01EQ00307 ","EQUITY USD                    ","USD","","","","","","","","01EQ00307           ","False","13Ba00311           ","","",""
"269","01Eq00269 ","Equity(0250296891109)         ","KES","","                    ","          ","","0.00","","60","01Eq00269           ","False","15Mo00294           ","","",""
"308","01Di00308 ","Directors M-PESA Account      ","KES","","","","","","","","01Di00308           ","False","","","",""
"288","01CF00288 ","CFC BANK                      ","KES","","","","","","","","01CF00288           ","False","","","",""
"351","01Ca00351 ","Cash from the Bank(Suspense)  ","KES","","","","","","","","01Ca00351           ","False","","","",""
"344","01Ca00344 ","Cash to be banked             ","KES","","","","","","","","01Ca00344           ","False","","","",""
"296","01Ba00296 ","ABSA BANK PLC","KES","","2021805028          ","3         ","Ruaraka","0.00","","390","01Ba00296           ","False","st0010397           ","Quality Bitumen Products ltd","067","BARCKENXXX"
"1386","BK1386    ","DIRECTORS","KES","","CASH                ","C         ","QBPL","0.00","","0","10Di00309           ","","15Mo00294           ","","",""
"1387","BK1387    ","I&amp;M USD","USD","","00301837441211      ","          ","SARIT CENTRE","212.64","","0","Iand0030404         ","False","                    ","I&amp;M USD","",""
"1388","BK1388    ","KKVL Directors account","KES","","                    ","          ","","0.00","","0","03Lo00169           ","","                    ","KKVL Directors account","",""
