"pkey","StatementNo","bankcode","narration","amount"
"1","1         ","01KC00375 ","  Reconciliation As at 08/06/2017",""
"2","1         ","01KC00375 ","  Cash Book balance","19330.00"
"3","1         ","01KC00375 ","  Less:Uncredited Cheques",""
"4","1         ","01KC00375 ","   Add:UnPresented Cheques",""
"5","1         ","01KC00375 ","  Balance as Per Bank Statement","19330.00"
"6","1         ","01KC00375 ","  Calculation","19330.00"
"7","2         ","01KC00375 ","  Reconciliation As at 22/07/2015",""
"8","2         ","01KC00375 ","  Cash Book balance","19330.00"
"9","2         ","01KC00375 ","  Less:Uncredited Cheques",""
"10","2         ","01KC00375 ","   Add:UnPresented Cheques",""
"11","2         ","01KC00375 ","  Balance as Per Bank Statement","19330.00"
"12","2         ","01KC00375 ","  Calculation","19330.00"
