"periodno","dimecode","amount","dimecode2"
"5","01        ","19200000",""
"5","02        ","536830",""
"5","03        ","100000",""
"5","04        ","1000512",""
"5","05        ","200000",""
"5","06        ","419160",""
"5","07        ","20232",""
"5","08        ","240000",""
"5","09        ","423756",""
"5","11        ","108781",""
"5","12        ","251173",""
"5","13        ","17160",""
"5","14        ","1041430",""
"5","15        ","1200",""
"5","16        ","597612",""
"5","17        ","97800",""
"5","18        ","120000",""
"5","19        ","133392",""
"5","20        ","6800",""
"5","21        ","2550214",""
"5","22        ","151195",""
"5","23        ","993600",""
"5","24        ","1050960",""
"5","25        ","693550",""
"5","26        ","775297",""
"5","27        ","73200",""
"5","28        ","229080",""
"5","E1        ","2000",""
"5","E10       ","14470",""
"5","E11       ","500000",""
"5","E12       ","3600",""
"5","E13       ","200000",""
"5","E14       ","90000",""
"5","E15       ","1508196",""
"5","E16       ","238016",""
"5","E17       ","49151",""
"5","E18       ","847680",""
"5","E19       ","26645040",""
"5","E2        ","2501728",""
"5","E20       ","6960",""
"5","E21       ","1866244",""
"5","E22       ","7000000",""
"5","E23       ","300000",""
"5","E24       ","40766",""
"5","E25       ","375949487",""
"5","E26       ","5000000",""
"5","E27       ","197638",""
"5","E3        ","559494",""
"5","E4        ","1598123",""
"5","E5        ","260578",""
"5","E6        ","28597",""
"5","E7        ","172141",""
"5","E8        ","31200",""
"5","E9        ","586818",""
"5","SA01      ","518208248",""
