"entryno","documenttype","docdate","documentno","locationcode","stocktype","code","description","unitofmeasure","Quantity","Quantity_toinvoice","Qunatity_delivered","UnitPrice","vatamount","invoiceamount","completed","printed","containerprice","containersunits","totalchargedcontainers","containercode","vatrate","inclusive","UOM","shipping"
"1","41","1/31/2017 12:00:00 AM","3","","","1","Furniture","Pcs","1.00","","","20.00","0.00","20.00","","","","","","","0.00","False","fulqty",""
"2","18","11/2/2018 12:00:00 AM","LPO427","","","2","PH Meter Portable ADWA AD132","Pcs","1.00","","1.00","54000.00","8640.00","62640.00","True","","","","","","16.00","True","fulqty",""
"3","18","3/5/2020 12:00:00 AM","LPO684","","","1002","Printer","Pcs","1.00","","","51724.14","8275.86","60000.00","","","","","","","16.00","True","fulqty",""
"4","41","11/2/2018 12:00:00 AM","4","","","2","PH Meter Portable ADWA AD132","Pcs","1.00","","","54000.00","6420.93","54000.00","","","","","","","16.00","True","fulqty",""
"5","18","3/5/2020 12:00:00 AM","LPO685","","","1002","Printer","Pcs","1.00","","1.00","51724.14","8275.86","60000.00","True","","","","","","16.00","True","fulqty",""
"6","41","3/5/2020 12:00:00 AM","5","","","1002","Printer","Pcs","1.00","","","60000.00","7134.36","60000.00","","","","","","","16.00","True","fulqty",""
"7","18","10/10/2020 12:00:00 AM","LPO976","","","1004","WEIGHINING MACHINE","Pcs","1.00","","1.00","60000.00","0.00","60000.00","True","","","","","","16.00","True","fulqty",""
"8","41","10/10/2020 12:00:00 AM","6","","","1004","WEIGHINING MACHINE","Pcs","1.00","","","60000.00","0.00","60000.00","","","","","","","16.00","True","fulqty",""
"9","18","10/10/2020 12:00:00 AM","LPO977","","","1005","WEIGHINING MACHINE 2","Pcs","1.00","","1.00","110000.00","0.00","110000.00","True","","","","","","16.00","True","fulqty",""
"10","41","10/10/2020 12:00:00 AM","7","","","1005","WEIGHINING MACHINE 2","Pcs","1.00","","","110000.00","0.00","110000.00","","","","","","","16.00","True","fulqty",""
"11","18","8/26/2020 12:00:00 AM","LPO996","","","1003","Burner","Pcs","1.00","","1.00","130000.00","18200.00","148200.00","True","","","","","","14.00","True","fulqty",""
"12","41","8/26/2020 12:00:00 AM","8","","","1003","Burner","Pcs","1.00","","","130000.00","18200.00","148200.00","","","","","","","14.00","True","fulqty",""
"13","18","10/8/2020 12:00:00 AM","LPO997","","","1007","Burner2","Pcs","1.00","","1.00","130000.00","18200.00","148200.00","True","","","","","","14.00","False","fulqty",""
"14","41","10/8/2020 12:00:00 AM","9","","","1007","Burner2","Pcs","1.00","","","130000.00","18200.00","148200.00","","","","","","","14.00","False","fulqty",""
"15","18","10/21/2020 12:00:00 AM","LPO1002","","","1008","Mill, Mixer,Hoper,Motor &amp; Tank","Pcs","1.00","","1.00","285000.00","0.00","285000.00","True","","","","","","14.00","False","fulqty",""
"16","41","10/21/2020 12:00:00 AM","10","","","1008","Mill, Mixer,Hoper,Motor &amp; Tank","Pcs","1.00","","","285000.00","0.00","285000.00","","","","","","","14.00","False","fulqty",""
"18","18","2/1/2021 12:00:00 AM","LPO1277","","","1009","HP 800g2 AIO15","Pcs","1.00","","1.00","55000.00","0.00","55000.00","True","","","","","","14.00","False","fulqty",""
"19","18","2/1/2021 12:00:00 AM","LPO1277","","","1014","HP  CND18A4796","Pcs","1.00","","1.00","55000.00","0.00","55000.00","True","","","","","","14.00","False","fulqty",""
"20","41","2/1/2021 12:00:00 AM","11","","","1009","HP 800g2 AIO15","Pcs","1.00","","","55000.00","0.00","55000.00","","","","","","","14.00","False","fulqty",""
"21","41","2/1/2021 12:00:00 AM","11","","","1014","HP  CND18A4796","Pcs","1.00","","","55000.00","0.00","55000.00","","","","","","","14.00","False","fulqty",""
"22","18","4/10/2021 12:00:00 AM","LPO1278","","","1015","Tent","Pcs","1.00","","1.00","50000.00","0.00","50000.00","True","","","","","","14.00","False","fulqty",""
"23","41","4/10/2021 12:00:00 AM","12","","","1015","Tent","Pcs","1.00","","","50000.00","0.00","50000.00","","","","","","","14.00","False","fulqty",""
"24","18","3/30/2022 12:00:00 AM","LPO1705","","","1016","Alumimium Outriggers","Pcs","6.00","","6.00","3333.34","0.00","20000.04","True","","","","","","14.00","True","fulqty",""
"25","18","3/30/2022 12:00:00 AM","LPO1705","","","1018","Wooden Office Desks","Pcs","3.00","","3.00","30000.00","0.00","90000.00","True","","","","","","14.00","True","fulqty",""
"26","41","3/30/2022 12:00:00 AM","13","","","1016","Alumimium Outriggers","Pcs","6.00","","","3333.34","0.00","20000.04","","","","","","","14.00","True","fulqty",""
"27","41","3/30/2022 12:00:00 AM","13","","","1018","Wooden Office Desks","Pcs","3.00","","","30000.00","0.00","90000.00","","","","","","","14.00","True","fulqty",""
"28","18","7/13/2022 12:00:00 AM","LPO1778","","","1019","Beaker 250ML","Pcs","4.00","","4.00","150.00","96.00","696.00","True","","","","","","16.00","False","fulqty",""
"29","18","7/13/2022 12:00:00 AM","LPO1778","","","1021","Beaker 1000ml","Pcs","1.00","","1.00","315.00","50.40","365.40","True","","","","","","16.00","False","fulqty",""
"30","18","7/13/2022 12:00:00 AM","LPO1778","","","1020","Beaker 500ml","Pcs","1.00","","1.00","270.00","43.20","313.20","True","","","","","","16.00","False","fulqty",""
"31","18","7/13/2022 12:00:00 AM","LPO1778","","","1022","Volumetric Flask","Pcs","3.00","","3.00","1170.00","561.60","4071.60","True","","","","","","16.00","False","fulqty",""
"32","18","7/13/2022 12:00:00 AM","LPO1778","","","1023","Distillation Flask","Pcs","2.00","","2.00","1072.00","343.04","2487.04","True","","","","","","16.00","False","fulqty",""
"33","18","7/13/2022 12:00:00 AM","LPO1778","","","1024","Magnet For Magnetic Stirer coated ","Pcs","1.00","","1.00","330.00","52.80","382.80","True","","","","","","16.00","False","fulqty",""
"34","18","7/13/2022 12:00:00 AM","LPO1778","","","1025","Magnet for magnetic Strirer coated","Pcs","1.00","","1.00","370.00","59.20","429.20","True","","","","","","16.00","False","fulqty",""
"35","18","7/13/2022 12:00:00 AM","LPO1778","","","1026","Watch Glass 75MM","Pcs","4.00","","4.00","100.00","64.00","464.00","True","","","","","","16.00","False","fulqty",""
"36","18","7/13/2022 12:00:00 AM","LPO1778","","","1027","Pyknometer","Pcs","1.00","","1.00","4875.00","780.00","5655.00","True","","","","","","16.00","False","fulqty",""
"37","18","7/13/2022 12:00:00 AM","LPO1778","","","1028","Xylene AR (21940LC)","Pcs","1.00","","1.00","3915.00","626.40","4541.40","True","","","","","","16.00","False","fulqty",""
"38","18","7/13/2022 12:00:00 AM","LPO1778","","","1030","Distillation App. 2L ","Pcs","2.00","","2.00","18792.00","6013.44","43597.44","True","","","","","","16.00","False","fulqty",""
"39","18","7/13/2022 12:00:00 AM","LPO1778","","","1031","Hanna Buffer PH 4.00","Pcs","1.00","","1.00","3770.00","603.20","4373.20","True","","","","","","16.00","False","fulqty",""
"40","18","7/13/2022 12:00:00 AM","LPO1778","","","1032","Hanna Buffer 10PH","Pcs","1.00","","1.00","3770.00","603.20","4373.20","True","","","","","","16.00","False","fulqty",""
"41","41","7/13/2022 12:00:00 AM","14","","","1019","Beaker 250ML","Pcs","4.00","","","150.00","96.00","696.00","","","","","","","16.00","False","fulqty",""
"42","41","7/13/2022 12:00:00 AM","14","","","1021","Beaker 1000ml","Pcs","1.00","","","315.00","50.40","365.40","","","","","","","16.00","False","fulqty",""
"43","41","7/13/2022 12:00:00 AM","14","","","1020","Beaker 500ml","Pcs","1.00","","","270.00","43.20","313.20","","","","","","","16.00","False","fulqty",""
"44","41","7/13/2022 12:00:00 AM","14","","","1022","Volumetric Flask","Pcs","3.00","","","1170.00","561.60","4071.60","","","","","","","16.00","False","fulqty",""
"45","41","7/13/2022 12:00:00 AM","14","","","1023","Distillation Flask","Pcs","2.00","","","1072.00","343.04","2487.04","","","","","","","16.00","False","fulqty",""
"46","41","7/13/2022 12:00:00 AM","14","","","1024","Magnet For Magnetic Stirer coated ","Pcs","1.00","","","330.00","52.80","382.80","","","","","","","16.00","False","fulqty",""
"47","41","7/13/2022 12:00:00 AM","14","","","1025","Magnet for magnetic Strirer coated","Pcs","1.00","","","370.00","59.20","429.20","","","","","","","16.00","False","fulqty",""
"48","41","7/13/2022 12:00:00 AM","14","","","1026","Watch Glass 75MM","Pcs","4.00","","","100.00","64.00","464.00","","","","","","","16.00","False","fulqty",""
"49","41","7/13/2022 12:00:00 AM","14","","","1027","Pyknometer","Pcs","1.00","","","4875.00","780.00","5655.00","","","","","","","16.00","False","fulqty",""
"50","41","7/13/2022 12:00:00 AM","14","","","1028","Xylene AR (21940LC)","Pcs","1.00","","","3915.00","626.40","4541.40","","","","","","","16.00","False","fulqty",""
"51","41","7/13/2022 12:00:00 AM","14","","","1030","Distillation App. 2L ","Pcs","2.00","","","18792.00","6013.44","43597.44","","","","","","","16.00","False","fulqty",""
"52","41","7/13/2022 12:00:00 AM","14","","","1031","Hanna Buffer PH 4.00","Pcs","1.00","","","3770.00","603.20","4373.20","","","","","","","16.00","False","fulqty",""
"53","41","7/13/2022 12:00:00 AM","14","","","1032","Hanna Buffer 10PH","Pcs","1.00","","","3770.00","603.20","4373.20","","","","","","","16.00","False","fulqty",""
