"docdate","docno","item","uom","store","qty","userid","acctfolio","reason","authorised","authorisedby","authoriseddate","direction","cost"
"8/12/2016 12:00:00 AM","36        ","S.8                 ","          ","1         ","19700","Mary                                              ","cr584","19,700kgs of bulk bitumen                         ","1","","","0",""
"8/12/2016 12:00:00 AM","39        ","S.8                 ","          ","1         ","20060","Mary                                              ","cr584","20,060kgs of bulk bitumen                         ","1","","","0",""
"10/12/2016 12:00:00 AM","46        ","S.34                ","          ","1         ","19940","Mary                                              ","cr584","19,940kgs of bulk bitumen                         ","1","","","0",""
"12/13/2016 12:00:00 AM","50        ","S.34                ","          ","1         ","19780","Mary                                              ","cr584","19,780kgs of bulk bitumen                         ","1","","","0",""
"12/15/2016 12:00:00 AM","52        ","S.8                 ","          ","1         ","19680","Mary                                              ","cr584","19,680kgs of bulk bitumen                         ","1","","","0",""
"12/17/2016 12:00:00 AM","55        ","S.8                 ","          ","1         ","20080","Mary                                              ","cr584","20,080kgs of bulk bitumen                         ","1","","","0",""
"12/17/2016 12:00:00 AM","57        ","S.8                 ","          ","1         ","20960","Mary                                              ","cr584","20,960kgs of bulk bitumen                         ","1","","","0",""
"12/10/2016 12:00:00 AM","60        ","S.7                 ","          ","1         ","-20000","Mary                                              ","cr584","20,000ltrs of K1-70. Delivery no. 2249            ","1","","","1",""
"12/11/2016 12:00:00 AM","62        ","S.7                 ","          ","1         ","20000","Mary                                              ","cr584","20,000ltrs of K1-70. Delivery no. 2250            ","2","","","0",""
"12/11/2016 12:00:00 AM","68        ","S.7                 ","          ","1         ","-20000","Mary                                              ","cr584","20,000ltrs of K1-70. Delivery no. 2250            ","1","","","1",""
"12/13/2016 12:00:00 AM","70        ","S.7                 ","          ","1         ","-20000","Mary                                              ","cr584","20,000ltrs of K1-70. Delivery no. 2151            ","1","","","1",""
"12/19/2016 12:00:00 AM","72        ","S.7                 ","          ","1         ","-20000","Mary                                              ","cr584","20,000ltrs of K1-70. Delivery no. 2152            ","1","","","1",""
"12/17/2016 12:00:00 AM","74        ","S.7                 ","          ","1         ","-20000","Mary                                              ","cr584","20,000ltrs of K1-70. Delivery no. 2154            ","1","","","1",""
"12/20/2016 12:00:00 AM","81        ","S.7                 ","          ","1         ","-20000","Mary                                              ","cr584","20,000ltrs of K1-70 Delivery no. 2162             ","1","","","1",""
"1/13/2017 12:00:00 AM","82        ","S.7                 ","          ","1         ","-20000","Mary                                              ","cr584","20,00lts of K1-70 delivery no.2177                ","1","","","1",""
"12/21/2016 12:00:00 AM","77        ","S.8                 ","          ","1         ","20240","Mary                                              ","cr584","20,240kgs of bulk bitumen                         ","1","","","0",""
"1/14/2017 12:00:00 AM","83        ","S.6                 ","          ","1         ","-4000","Mary                                              ","cr584","4,000ltrs of K1-60 Delivery no. 2178              ","1","","","1",""
"1/14/2017 12:00:00 AM","84        ","S.9                 ","          ","1         ","-6000","Mary                                              ","cr584","6,000ltrs of MC-30 Delivery no. 2178              ","1","","","1",""
"1/19/2017 12:00:00 AM","85        ","S.7                 ","          ","1         ","15400","Mary                                              ","cr584","15,400ltrs of K1-70 Delivery no. 2187             ","1","","","0",""
"2/6/2017 12:00:00 AM","88        ","S.8                 ","          ","1         ","20100","Mugure                                            ","cr584","20100kg of Bulk Bitumen                           ","2","","","0",""
"2/8/2017 12:00:00 AM","92        ","S.8                 ","          ","1         ","21340","Mugure                                            ","cr584","21340kg of Bulk Bitumen                           ","1","","","0",""
"2/14/2017 12:00:00 AM","94        ","S.8                 ","          ","1         ","21840","Mugure                                            ","cr584","21840kg of bulk bitumen                           ","1","","","0",""
"5/30/2017 12:00:00 AM","101       ","S.8                 ","          ","1         ","21420","Mary                                              ","cr584","21,420kgs of bulk bitumen delivery no.277         ","2","","","0","45.69"
"5/30/2017 12:00:00 AM","104       ","S.8                 ","          ","1         ","21420","Mary                                              ","cr584","21,420kgs of bulk bitumen delivery no.277         ","1","","","0","45.69"
"6/5/2017 12:00:00 AM","109       ","S.9                 ","          ","1         ","-10000","Mary                                              ","cr584","10,000Ltrs of MC-30 delivery no. 2402             ","2","","","1","45.69"
"6/6/2017 12:00:00 AM","111       ","S.9                 ","fulqty    ","1         ","-50","Mary                                              ","cr584","50drums of mc-30 delivery no.2402                 ","1","","","1","9138"
"6/5/2017 12:00:00 AM","117       ","S.9                 ","fulqty    ","1         ","-50","Mary                                              ","cr584","50drums of mc-30 delivery no.2403                 ","1","","","1","9138"
"7/12/2017 12:00:00 AM","123       ","S.34                ","fulqty    ","1         ","19","Mugure                                            ","cr556","Dlv no.178 (internal Grn no.945)                  ","1","","","0","50"
"7/14/2017 12:00:00 AM","129       ","S.24                ","fulqty    ","1         ","20520","Mugure                                            ","cr558","Reconcile (bitumen 60/70 bulk)                    ","1","","","0","50"
"4/27/2018 12:00:00 AM","133       ","S.8                 ","fulqty    ","1         ","22900","Mary                                              ","cr80612","22900kgs of Bitumen Bulk dlv370                   ","1","","","0","53.44"
"5/3/2018 12:00:00 AM","137       ","S.9                 ","fulqty    ","1         ","-120","Mary                                              ","cr80612","120 Drums of MC30 Delivery no. 2589               ","1","","","1","85"
"5/5/2018 12:00:00 AM","139       ","S.8                 ","fulqty    ","1         ","22420","Mary                                              ","cr80612","22420kgs of bulk bitumen Delivery no.372          ","1","","","0","51.72"
"5/6/2018 12:00:00 AM","142       ","S.9                 ","loosqty   ","1         ","-26000","Mary                                              ","cr80612","26,000Ltrs of MC30 delivery no.2591               ","1","","","1","85"
